№ п/п,ПОЛНОЕ НАИМЕНОВАНИЕ,КРАТКОЕ НАИМЕНОВАНИЕ,ПРЕЖНЕЕ НАИМЕНОВАНИЕ,Номер лицензии на ОСАГО,Дата выдачи лицензии на ОСАГО,Номер Свид-ва РСА,Дата Свид-ва РСА,Основной телефон/факс,E-mail общий,АДРЕС,ИНН
1,"Общество с ограниченной ответственностью ""Абсолют Страхование""","ООО ""Абсолют Страхование""","Общество с ограниченной ответственностью Информационно - страховая компания ""ИСК Евро - Полис"" (до 03.03.2016)",ОС № 2496-03,19 июл 17,214,15 мар 16,(495) 987-18-38 (тел/факс),info@absolutins.ru,"ул. Ленинская Слобода, д. 26, г. Москва, 115280",7728178835
2,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""","ООО ""СФ ""Адонис""",,ОС № 0585-03,27 июл 15,215,16 сен 13,"(342) 241-02-87, 241-02-88, 241-10-68 (факс)",info@adonis.perm.ru,"ул. Братьев Игнатовых, д. 3, оф. 710, г. Пермь, 614036",5905013608
3,"Акционерное общество ""АльфаСтрахование""","АО ""АльфаСтрахование""","Открытое акционерное общество ""АльфаСтрахование"" (до 20.09.2017)",ОС № 2239-03,13 ноя 17,11,14 окт 02,788-09-99; 785-08-88 (факс),alfastrah@alfastrah.ru,"ул. Шаболовка, д. 31, строение ""Б"", г. Москва, 115162",7713056834
4,"Общество с ограниченной ответственностью ""Страховая компания ""Ангара""","ООО ""Страховая компания ""Ангара""",,ОС № 0066-03,28 сен 15,17,14 окт 02,(3953) 41-15-15 (тел/факс),angara@angara.bratsk.ru,"ул. Южная, д. 23, г. Братск, Иркутская обл., 665717",3804002162
5,"Акционерное общество Страховая компания ""Армеец""","АО СК ""Армеец""","ОАО ""Страховая компания ""Итиль"" (до 14.04.2014); ОАО СК ""Итиль Армеец"" (до 25.09.2015); АО СК ""Итиль Армеец"" (до 07.06.2016)",ОС № 1858-03,6 ноя 15,67,19 мар 03,(495) 730-06-00,armeec@armeec.ru,"Ленинградский пр-т, д. 20, стр. 1, г. Москва, 125040",1656000493
6,"Акционерное общество ""Страховая компания ""Астро-Волга""","АО ""СК ""Астро-Волга""","Открытое акционерное общество""Страховая компания""Самара-РОСНО""(до 23.04.04), ОАО ""СК ""Самара"" (до 09.10.2012); ОАО ""СК ""Астро-Волга"" (до 11.08.2015)",ОС № 2619-03,22 янв 18,125,22 окт 15,(846) 200-77-60,sk@astrovolga.ru,"ул. Арцыбушевская, д. 167, г. Самара, 443001 (фактический адрес: пр. Карла Маркса, д. 201Б, г. Самара, 443080)",6315232133
7,"Открытое акционерное общество Страховая компания ""БАСК""","ОАО СК ""БАСК""",,ОС № 0518-03,16 апр 15,20,14 окт 02,"(38452) 2-22-17, 2-11-30 (факс), (495) 926-48-10 (тел/факс)",central.office@icbask.com,"пер. Цинкзаводской, д. 8А, г. Белово, Кемеровская обл., 652600",4202000716
8,"Акционерное общество ""Боровицкое страховое общество""","АО ""Боровицкое страховое общество""","Открытое акционерное общество ""Британское страховое общество"" (до 16.01.2009г.); Открытое акционерное общество ""Боровицкое страховое общество"" (до 08.06.2015)",ОС № 3064-03,30 окт 15,151,25 июн 15,"(495) 540-51-10 - многоканальный; 710-43-81; 710-60-80; 979-53-83, 979-53-80; 710-42-21 (факс)",info@bsoinsur.ru; BIS@BSOINSUR.RU,"Покровский б-р, д. 4/17, стр. 3, г. Москва, 101000",7714034590
9,"Общество с ограниченной ответственностью Страховое общество ""ВЕРНА""","ООО СО ""ВЕРНА""",,ОС № 3245-03,23 мар 16,223,24 апр 16,(861) 212-64-10 (тел/факс),info@verna-group.ru,"ул. Новокузнечная, д. 40, г. Краснодар, Краснодарский край, 350015",7723011286
10,"Страховое акционерное общество ""ВСК""","САО ""ВСК""","Открытое акционерное общество ""Военно-страховая компания"" (до 13.12.2010); СОАО ""ВСК"" (до 06.12.2014)",С № 0621 77,20 июн 06,5,14 окт 02,785-27-76; 924-34-34 (факс),info@vsk.ru,"ул. Островная, д. 4, г. Москва, 121552",7710026574
11,"Акционерное общество ""Страховая компания ГАЙДЕ""","АО ""СК ГАЙДЕ""","ОАО ""СК ГАЙДЕ"" (до 27.11.2014); ПАО ""СК ГАЙДЕ"" (до 30.12.2016)",ОС № 0630-03,4 фев 16,105,28 янв 15,"(812) 777-02-75, (800) 444-02-75 (тел/факс), (812) 611-02-96 (факс)",office@guideh.com,"Лиговский проспект, д. 108, Лит. А, г. Санкт-Петербург, 191119",7809016423
12,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""","ООО Страховая Компания ""Гелиос""","Общество с ограниченной ответственностью Страховая компания ""Гелиос Резерв"" (до 28.05.2015)",ОС № 0397-03,16 сен 15,216,19 дек 12,(495)981-96-33,secretary@skgelios.ru,"Бульвар Энтузиастов, д. 2, г. Москва, 109544",7705513090
13,"Общество с ограниченной ответственностью Страховое общество ""Геополис""","ООО СО ""Геополис""",,С № 2397 77,13 дек 05,196,24 июл 06,(499)-611-50-07; 611-74-86 (факс),mail@geopolis-ins.ru,"Малый Толмачевский пер., д. 10, стр. 8, офис 12, г. Москва, 119017",7711023801
14,"Акционерное общество ""ГУТА-Страхование""","АО ""ГУТА-Страхование""","ЗАО ""ГУТА-Страхование"" (до 23.03.2015)",ОС № 1820-03,3 дек 15,52,11 фев 03,(495) 799-97-99; 783-41-87 (факс),post@gutains.ru,"Орликов пер., д. 5, стр. 3, г. Москва, 107078",7710006391
15,"Акционерное общество ""Страховая компания ""Двадцать первый век""","АО СК ""Двадцать первый век""","ЗАО СК ""Двадцать первый век"" (до 23.01.2017)",ОС № 2027-03,19 мар 15,185,3 мар 05,(812) 331-25-20 (тел/факс); 541-87-36 (тел/факс),main@21-vek.spb.ru,"Литейный пр-т, д. 57а, лит. А, г. Санкт-Петербург, 191014",7817021522
16,"Общество с ограниченной ответственностью Страховая Компания ""Диамант""","ООО СК ""Диамант""",,ОС № 1363-03,1 ноя 16,222,2 фев 17,(495) 461-67-01; 461-67-02,info@skdiamant.ru,"проспект Мира, д. 102, корпус 1, 9 этаж, ком. 2-4, г. Москва, 129626",7701399749
17,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""","ООО РСО ""ЕВРОИНС""","ООО СК ""БАЗАЛЬТ"" (до 22.12.2008г.)",ОС № 3954-03,7 июл 15,211,17 фев 10,(4812) 68-37-00 (тел/факс); (495) 926-51-55 (тел/факс),pvu@euro-ins.ru,"ул. Глинки, д. 7, этаж 2, пом. 9, г. Смоленск, 214000",7714312079
18,"Общество с ограниченной ответственностью ""Зетта Страхование""","ООО ""Зетта Страхование""","ООО ""Страховая компания ""НАСТА-Центр""(до 1 марта 2005); ООО ""Страховая компания ""НАСТА"" (до 03.12.2007г.); ООО СК ""Цюрих. Ритейл"" (до 22.10.2009); ООО СК ""Цюрих"" (до 23.01.2015)",ОС № 1083-03,24 июн 15,107,2 фев 15,(495) 967-17-81; 258-77-54,info@zettains.ru; bso@zettains.ru,"Багратионовский пр-д, д. 7, корп. 11, г. Москва, 121087",7710280644
19,"Страховое публичное акционерное общество ""Ингосстрах""","СПАО ""Ингосстрах""","ОСАО ""Ингосстрах"" (до 17.06.2015)",С № 0928 77,26 дек 05,1,14 мар 16,"956-55-55 (справки по ДТП); 234-36-48 (орг), 959-41-53 (юр), 959- 44-05 (факс)",ingos@ingos.ru; Ilya.Solomatin@ingos.ru; Vyacheslav.Dorofeev@ingos.ru,"ул. Лесная, д. 41, г. Москва, 127994",7705042179
20,"Акционерное общество ""ИНТАЧ СТРАХОВАНИЕ""","АО ""ИНТАЧ СТРАХОВАНИЕ""","Открытое акционерное общество ""Страховая Акционерная Компания ""Энергополис"" (до 22.02.2008г.); ОАО ""ИНТАЧ СТРАХОВАНИЕ"" (до 11.02.2015",ОС № 0870-03,18 авг 15,47,14 май 12,(495) 726-51-06; 726-51-07(факс),osago@in-touch.ru; rsa@in-touch.ru,"ул. Сущевский Вал, д. 18, этаж 7, г. Москва, 127018",6315212497
21,"Открытое акционерное общество ""Капитал Страхование""","ОАО ""Капитал Страхование""","Открытое акционерное общество ""Страховая компания ""ЛУКОЙЛ"" (до 12.05.2003); Открытое акционерное общество ""КапиталЪ Страхование"" (до 06.04.2009г.)",ОС № 1298-03,7 сен 15,7,23 июл 09,(495) 620-95-33; 620-95-38 (факс),info@kapital-ins.ru,"ул. Молодежная, д. 10, г. Когалым, Ханты-Мансийский АО-Югра, Тюменская обл., 628486",7702045615
22,Либерти Страхование (Акционерное общество),Либерти Страхование (АО),"Открытое акционерное общество Страховая компания ""Класс"" (до 12.03.2008); КИТ Финанс Страхование (ОАО) (до 21.02.2013); Либерти Страхование (ОАО) (до 23.03.2016)",ОС № 1675-03,3 июн 16,117,21 мар 13,(812) 449-47-58; 449-47-59 (факс),e.zhenihova@libertyrus.ru; a.kravchenko@libertyrus.ru; info@libertyrus.ru; state@libertyrus.ru,"Московский пр-т, д. 79а, лит. А, г. Санкт-Петербург, 196084",7812016906
23,"Закрытое акционерное общество ""Московская акционерная страховая компания""","ЗАО ""МАКС""",,ОС № 1427-03,14 сен 15,12,14 окт 02,(495) 730-11-01; 540-11-01; 951-19-01 (факс),info@makc.ru; autoins@makc.ru,"ул. Малая Ордынка, д. 50, г. Москва, 115184",7709031643
24,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""","ООО ""СК ""Мегарусс-Д""","ЗАО СК ""Мегарусс-Д"" (до 10.11.2014); ООО СК ""Мегарусс-Д"" (до 09.06.2015)",С № 2877 77,13 дек 06,55,12 дек 14,(495) 967-92-12; 967-92-14,info@megarussd.com,"Рождественский б-р, д. 14. стр. 2, г. Москва, 107031",7702848563
25,"Страховое Акционерное Общество ""Медэкспресс""","САО ""Медэкспресс""","СЗАО ""Медэкспресс"" (до 13.07.2015)",ОС № 0141-03,21 сен 15,29,14 окт 02,(812) 494-94-11; 494-94-10 (факс),admin@medexpress.ru,"ул. Гороховая, д. 14/26, г. Санкт-Петербург, 191186",7803025365
26,"Страховое акционерное общество ""Надежда""","САО ""Надежда""","Закрытое акционерное страховое общество ""Надежда"" (до 13.01.2015)",С № 2182 24,22 май 07,69,19 мар 03,(391) 229-69-37; 227-06-17 (факс),info@i-nad.ru; katcina@i-nad.ru; bralgina@i-nad.ru,"ул. Парижской Коммуны, д. 39, г. Красноярск,660049",2466035034
27,"Акционерное общество ""Национальная страховая компания ТАТАРСТАН""","АО ""НАСКО""","Открытое акционерное общество ""Национальная страховая компания ТАТАРСТАН"" (до 01.07.2016)",ОС № 3116-03,25 ноя 16,70,19 мар 03,(843) 521-92-90; 519-35-50 (факс); 8-800-500-16-16,info@nasko.ru,"ул. Маршала Чуйкова, д. 2, блок Б , г. Казань, Республика Татарстан, 420094",1657023630
28,"Общество с ограниченной ответственностью ""Национальная страховая группа-""РОСЭНЕРГО""","ООО ""НСГ-""РОСЭНЕРГО""",,ОС № 3295 - 03,23 окт 15,60,11 фев 03,"(3852) 24-46-73, 24-47-00 (факс)",sugatova@rosen.ttb.ru; kontrol@rosen.ttb.ru,"пр-т Коммунистический, д. 9-1, г. Горно-Алтайск, Республика Алтай, 649000",411063374
